HomeName,Price,Space,Superhost,Rank
"Howdy, in Hip South Lamar - South Central Austin",Price$58,Entire apartment · 3 beds,NO,211
Beautiful Brand New Home-5 Min to Downtown Austin,Price$225,Entire house · 4 beds,NO,212
East Austin Private Room,Price$30,Private room · 1 queen bed,NO,213
High End Space steps from Austin's Night Life,Price$50,Private room · 3 beds,NO,214
"Ultra Comfy Room, Downtown ATX!",Price$34,Private room · 1 bed,NO,215
Mueller Park Guest House,Price$50,Entire guesthouse · 1 king bed,YES,216
Cozy & Clean Backyard Studio in East Austin,Price$79,Entire guesthouse · 1 bed,YES,217
South Congress/South Lamar Loft,Price$49,Entire condominium · 2 beds,NO,218
"Airy, Light-filled Guest House",Price$105,Entire house · 1 bed,YES,219
The Yellow Door- 2 Blocks to Rainey St & Downtown!,Price$120,Entire house · 4 beds,NO,220
East Austin Flat w/ 3 Pools & Min from UT!,Price$87,Entire apartment · 2 beds,NO,221
Cute 1 Bed Apt near downtown - centrally located!,Price$60,Entire apartment · 2 beds,YES,222
Downtown Eastside Upgraded Home!,Price$63,Entire house · 4 beds,NO,223
"Penthouse, Modern, Hip, East Austin",Price$225,Entire condominium · 2 beds,NO,224
Beautiful Place To Stay Near Downtown Austin!,Price$80,Entire apartment · 2 beds,NO,225
Private Master Suite in East Austin,Price$45,Private room · 1 bed,YES,226
Perfectly Located SOCO Studio,Price$150,Entire apartment · 1 bed,YES,227
2 blocks to East 6th Street!,Price$85,Entire house · 10 beds,NO,228
Most Desirable Space in Downtown Austin! (C2),Price$69,Entire condominium · 4 beds,YES,229
"Eastside Spartan - Near Downtown,UT",Price$46,Entire house · 2 beds,YES,230
Tiny House 811 at MLF Community First Village,Price$50,Entire house · 2 beds,YES,231
Chic South Congress Flat,Price$39,Entire condominium · 2 beds,YES,232
St.Eds Secret Casita off S.Congress,Price$69,Entire apartment · 1 bed,NO,233
Billy Budget and Relax Room,Price$33,Private room · 1 bed,NO,234
"Heritage Hills Gem - Close in, quiet, and comfy",Price$28,Private room · 1 double bed,YES,235
South Austin Home Bedroom 1,Price$42,Private room · 1 bed,NO,236
Swanky Townhouse|3BD ★ Walk to UT & Restaurants,Price$85,Entire townhouse · 9 beds,YES,237
Home Away from Home,Price$37,Private room · 1 bed,YES,238
Eastside Guest Studio near Lake,Price$65,Entire house · 2 beds,NO,239
Green Acre in Austin,Price$55,Private room · 2 beds,NO,240
Lone Star Lodge,Price$195,Entire house · 7 beds,YES,241
"Perfect location, seconds from Downtown!",Price$36,Private room · 2 beds,NO,242
SWEET SPOT!! Central Location- Zero cleaning fee!,Price$65,Private room · 1 queen bed,YES,243
Charming Little House for 6 Near Downtown! (L4),Price$79,Entire house · 3 beds,YES,244
Relaxing Clarksville Apt - 5 min from downtown.,Price$44,Entire apartment · 1 bed,NO,245
